dimension_key,dimension_cn,group_cn,group_order,n_obs,n_city,cate_mean,cate_std,cate_se,cate_mean_ci_lower_approx,cate_mean_ci_upper_approx,cate_q25,cate_median,cate_q75,grouping_rule,result_boundary
region,区域,东部,1,430,86,-0.03577607318969398,0.05061632831770755,0.002440936101583544,-0.040560307948797725,-0.030991838430590234,-0.04022521654927805,-0.0284031632962812,-0.018874077522275625,按城市行政区划省级代码映射为东部、中部、西部、东北四大区域。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
region,区域,中部,2,400,80,-0.042496089546516326,0.07109658914667998,0.0035548294573339986,-0.04946355528289097,-0.035528623810141685,-0.042273289778693525,-0.02663637305621685,-0.0158468630158848,按城市行政区划省级代码映射为东部、中部、西部、东北四大区域。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
region,区域,西部,3,462,95,-0.06352646033440125,0.06522707773428615,0.0030346382961093468,-0.06947435139477556,-0.05757856927402693,-0.10421820723555345,-0.043955318678385896,-0.020630223270665025,按城市行政区划省级代码映射为东部、中部、西部、东北四大区域。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
region,区域,东北,4,164,33,-0.08192647717344183,0.06431450228409963,0.005022118882850593,-0.09176983018382899,-0.07208312416305467,-0.1150353744431782,-0.07240345425171885,-0.03981443205760725,按城市行政区划省级代码映射为东部、中部、西部、东北四大区域。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
economic_development,经济发展水平,高经济发展水平,1,733,147,-0.020610091775584767,0.03473736355949492,0.0012830537982490302,-0.023124877220152867,-0.018095306331016667,-0.0341418557434659,-0.0255580091912335,-0.0166666643958667,按城市 2019—2023 年 GDP 均值的样本中位数划分，高于或等于中位数为高组。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
economic_development,经济发展水平,低经济发展水平,2,723,147,-0.08307070117511639,0.07260087084249957,0.0027000554389803744,-0.08836280983551792,-0.07777859251471486,-0.12113945949794186,-0.0683892290723463,-0.0293440234210545,按城市 2019—2023 年 GDP 均值的样本中位数划分，高于或等于中位数为高组。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
industrial_structure,产业结构,高第二产业占比,1,728,147,-0.043156779160760286,0.0687973834509,0.002549800673552569,-0.04815438848092332,-0.03815916984059725,-0.05187604828886817,-0.029391243802791747,-0.015468244398142424,按城市 2019—2023 年第二产业占比均值的样本中位数划分，高于或等于中位数为高组。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
industrial_structure,产业结构,低第二产业占比,2,728,147,-0.06009502608802101,0.0593813480731897,0.002200819184083343,-0.06440863168882437,-0.05578142048721766,-0.08638505187389342,-0.03846063946493445,-0.024223045996889403,按城市 2019—2023 年第二产业占比均值的样本中位数划分，高于或等于中位数为高组。,基于当前 CATE 候选估计的分组摘要；近似区间仅描述组内 CATE 均值不确定性，不等同于严格 subgroup significance test。
