iteration,placebo_ate,placebo_std_error,placebo_p_value,true_ate,outcome_column,treatment_column
43,0.02861463647360057,0.01974380397199331,0.1472546499280582,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
44,0.01984856251598527,0.01718952102218794,0.24821752742410297,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
45,0.0031165573965134877,0.01417449516064702,0.825971788727093,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
46,0.031958947045545236,0.015566336428693133,0.04006473802303515,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
47,0.014946843444456308,0.022323230747308347,0.5031354332900764,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
48,0.0016741471400089176,0.01353303308317378,0.9015463202372591,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
49,-0.011602969876016124,0.01602731237634606,0.46909654378523336,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
50,0.0037409383151182363,0.01824713754866219,0.837560345237146,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
51,-0.018583205366505384,0.013392572312315661,0.16526634286686914,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
52,-0.011942116139541598,0.01646800756125805,0.468347331539418,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
53,-0.031879503747642556,0.014831126268479426,0.03159479765484593,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
54,-0.016292856064082272,0.01693534782609676,0.3360184174664804,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
55,0.007855355322803353,0.017861240174751464,0.6600827019085587,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
56,-0.02514790218274181,0.01890415355588332,0.1834245569839713,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
57,-0.03505156212815029,0.019772835764383382,0.0762762832108538,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
58,-0.008831935647622097,0.01674843779984191,0.5979651932358361,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
59,-0.006427551722141949,0.013331933283232034,0.6297228316826833,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
60,0.010624143235486806,0.014511414732068354,0.4640933810938974,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
61,0.01780019455547643,0.0175099128501968,0.30935415990148873,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
62,0.0067176364583300015,0.01775393762837386,0.7051524427076088,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
63,0.012493376356386934,0.016946963251647865,0.46099804086179963,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
64,-0.021241612773006385,0.014946190552015156,0.15525693763309176,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
65,0.014823606686308591,0.017112319535357242,0.386351160430499,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
66,-0.012906806737958227,0.014604352842263345,0.37682342207851327,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
67,-0.005601875467164263,0.018339752930128284,0.7600235313467315,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
68,0.015962048206377845,0.02180797591569142,0.4642074766008947,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
69,-0.014010788447144429,0.014424877110639044,0.33140217673593375,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
70,-0.01505940329072926,0.020899487968545745,0.47117826211336855,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
71,0.00934407337170524,0.027233471024986813,0.731515787690038,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
72,0.020552420956856898,0.015053244754624407,0.17215406448157633,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
73,-0.002536704784385096,0.01912138906334001,0.8944597426207749,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
74,-0.03158404650653296,0.020624706286654703,0.12567809342630973,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
