model,learner_label,outcome_column,outcome_label_cn,outcome_label_en,treatment_column,ate,std_error,ci_lower,ci_upper,p_value,nobs,folds,split_strategy,covariance_type,nuisance_model_y,nuisance_model_t,control_columns,caveat
DML_learner_replacement_candidate,GradientBoosting baseline,co2_emission_intensity,碳排放强度,Carbon emission intensity,digital_inclusive_finance_index,-0.054088977915864256,0.020952450783132664,-0.09515502683865232,-0.013022928993076187,0.009836891437994684,1456,5,GroupKFold(pku_city_code),cluster(pku_city_code),GradientBoostingRegressor,GradientBoostingRegressor,"gdp_total, secondary_industry_share, fiscal_expenditure",Candidate learner-replacement robustness only; rerun after final specification lock.
DML_learner_replacement_candidate,RandomForest replacement,co2_emission_intensity,碳排放强度,Carbon emission intensity,digital_inclusive_finance_index,-0.03828325900664256,0.019287051518206325,-0.07608518535029553,-0.00048133266298959476,0.047153345683957494,1456,5,GroupKFold(pku_city_code),cluster(pku_city_code),RandomForestRegressor,RandomForestRegressor,"gdp_total, secondary_industry_share, fiscal_expenditure",Candidate learner-replacement robustness only; rerun after final specification lock.
DML_learner_replacement_candidate,ExtraTrees replacement,co2_emission_intensity,碳排放强度,Carbon emission intensity,digital_inclusive_finance_index,-0.03932768161680253,0.019454051682196705,-0.07745692226728892,-0.0011984409663161333,0.04322103652282398,1456,5,GroupKFold(pku_city_code),cluster(pku_city_code),ExtraTreesRegressor,ExtraTreesRegressor,"gdp_total, secondary_industry_share, fiscal_expenditure",Candidate learner-replacement robustness only; rerun after final specification lock.
