model,spec_key,spec_label_cn,outcome_column,treatment_column,ate,std_error,ci_lower,ci_upper,p_value,nobs,folds,split_strategy,covariance_type,nuisance_model_y,nuisance_model_t,control_columns,population_included,caveat,ate_delta_vs_baseline
DML_population_sensitivity,baseline_no_population,主规格：不含人口变量,co2_emission_intensity,digital_inclusive_finance_index,-0.054088977915864256,0.020952450783132664,-0.09515502683865232,-0.013022928993076187,0.009836891437994684,1456,5,GroupKFold(pku_city_code),cluster(pku_city_code),GradientBoostingRegressor,GradientBoostingRegressor,"gdp_total, secondary_industry_share, fiscal_expenditure",False,Population control is a robustness/sensitivity check only and is not part of the main specification.,0.0
DML_population_sensitivity,population_augmented,敏感性：加入人口变量,co2_emission_intensity,digital_inclusive_finance_index,-0.017955145216939777,0.02213258416276148,-0.061334213060753866,0.02542392262687431,0.4172198781189689,1456,5,GroupKFold(pku_city_code),cluster(pku_city_code),GradientBoostingRegressor,GradientBoostingRegressor,"gdp_total, secondary_industry_share, fiscal_expenditure, population_control_candidate",True,Population control is a robustness/sensitivity check only and is not part of the main specification.,0.03613383269892448
